Traffic_Level,ID,Weather,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,temperature,humidity,precipitation,Distance (km),Delivery Time (m)
High,46FD,clear sky,Meal,motorcycle,29,4.8,19.08,65.0,0.0,13.9,3.948.333.333
High,77EE,broken clouds,Drinks,scooter,27,4.5,21.43,65.0,0.0,9.43,41.55
High,2192,mist,Buffet,motorcycle,32,4.1,19.5,93.0,0.0,12.76,42.65
High,4321,haze,Drinks,electric_scooter,20,4.8,19.98,68.0,0.0,18.08,4.898.333.333
High,1E2D,mist,Snack,motorcycle,34,4.7,20.21,91.0,0.0,11.19,4.048.333.333
High,5.20E+03,haze,Buffet,motorcycle,36,4.8,20.12,68.0,0.0,37.48,4.836.666.667
High,6C4D,clear sky,Buffet,scooter,30,4.6,22.47,44.0,0.0,21.29,42.5
High,DD96,clear sky,Meal,scooter,32,4.8,21.73,56.0,0.0,15.4,37.45
High,7EF7,mist,Buffet,motorcycle,31,4.5,24.95,73.0,0.0,17.3,44.9
High,C918,mist,Snack,motorcycle,28,5.0,17.15,82.0,0.0,16.62,5.243.333.333
High,2391,clear sky,Buffet,scooter,33,4.5,17.25,53.0,0.0,19.0,36.1
High,7DDD,clear sky,Drinks,motorcycle,35,4.2,17.25,53.0,0.0,18.76,4.388.333.333
High,D92F,clear sky,Buffet,motorcycle,35,4.9,21.71,51.0,0.0,15.29,3.983.333.333
High,D902,mist,Drinks,motorcycle,32,4.4,23.95,88.0,0.0,21.08,56.25
High,C63E,clear sky,Meal,scooter,32,4.3,12.44,77.0,0.0,15.87,4.523.333.333
High,7B03,mist,Buffet,motorcycle,20,4.5,19.5,93.0,0.0,12.76,4.286.666.667
High,70B1,clear sky,Buffet,motorcycle,31,4.4,22.47,44.0,0.0,20.94,4.061.666.667
High,8DE9,clear sky,Buffet,scooter,21,4.9,22.92,43.0,0.0,16.07,3.651.666.667
High,75DC,scattered clouds,Drinks,motorcycle,39,4.0,18.12,77.0,0.0,26.21,4.878.333.333
High,416F,scattered clouds,Snack,electric_scooter,25,4.9,18.05,77.0,0.0,25.68,5.166.666.667
High,D4DA,clear sky,Buffet,motorcycle,27,5.0,21.83,54.0,0.0,16.06,4.006.666.667
High,B59B,smoke,Drinks,motorcycle,28,4.5,27.03,44.0,0.0,16.04,5.803.333.333
High,6A7,clear sky,Drinks,scooter,29,4.6,17.88,67.0,0.0,18.0,4.816.666.667
High,ADAE,broken clouds,Snack,motorcycle,27,4.6,21.34,64.0,0.0,16.25,4.871.666.667
High,43B9,broken clouds,Meal,motorcycle,33,4.8,21.25,64.0,0.0,13.4,38.15
High,9E8A,clear sky,Snack,scooter,20,4.7,19.13,64.0,0.0,17.74,4.728.333.333
High,1B40,broken clouds,Snack,motorcycle,34,4.2,18.3,81.0,0.0,13.89,45.15
High,B4FB,broken clouds,Meal,motorcycle,22,4.7,18.25,81.0,0.0,15.77,4.318.333.333
High,5B70,mist,Snack,electric_scooter,24,4.6,19.37,93.0,0.0,16.67,5.086.666.667
High,7ADA,haze,Drinks,scooter,21,4.7,20.12,68.0,0.0,37.48,5.546.666.667
High,6357,smoke,Buffet,scooter,20,4.5,26.49,44.0,0.0,16.18,5.143.333.333
High,A200,clear sky,Drinks,motorcycle,30,4.7,22.85,43.0,0.0,22.18,53.6
High,9BF9,clear sky,Drinks,motorcycle,32,4.4,19.08,65.0,0.0,12.92,4.071.666.667
High,555D,clear sky,Snack,motorcycle,23,4.6,17.26,53.0,0.0,16.74,4.151.666.667
High,8D83,broken clouds,Buffet,motorcycle,20,4.7,21.24,64.0,0.0,12.95,4.021.666.667
High,8A06,clear sky,Buffet,scooter,34,4.8,17.6,69.0,0.0,20.31,4.481.666.667
High,1.20E+08,clear sky,Meal,electric_scooter,33,3.9,17.21,53.0,0.0,19.02,39.5
High,CEE,mist,Drinks,scooter,29,4.6,19.72,93.0,0.0,12.6,5.788.333.333
High,5A07,scattered clouds,Drinks,motorcycle,34,4.7,17.97,77.0,0.0,12.84,46.75
High,340F,clear sky,Buffet,scooter,26,4.6,22.9,43.0,0.0,14.85,35.05
High,AA97,clear sky,Snack,motorcycle,39,4.1,17.77,68.0,0.0,18.75,3.891.666.667
High,6EDB,clear sky,Meal,scooter,34,3.8,19.42,65.0,0.0,22.85,4.283.333.333
High,AABD,haze,Buffet,motorcycle,22,4.7,19.47,68.0,0.0,11.89,3.983.333.333
High,1494,scattered clouds,Meal,motorcycle,27,4.0,18.36,82.0,0.0,19.48,3.443.333.333
High,1875,mist,Drinks,scooter,29,4.9,25.15,73.0,0.0,21.2,54.8
High,7E1F,clear sky,Drinks,motorcycle,26,4.9,17.72,68.0,0.0,11.34,45.3
High,8B39,clear sky,Drinks,motorcycle,24,2.6,22.47,44.0,0.0,20.94,4.751.666.667
High,6E9D,mist,Buffet,motorcycle,28,4.0,26.31,88.0,0.0,9.62,4.186.666.667
High,1B6A,clear sky,Meal,scooter,29,4.6,17.79,68.0,0.0,16.17,39.8
High,7BD7,mist,Snack,scooter,20,4.7,23.86,78.0,0.0,10.04,3.818.333.333
High,1A54,mist,Buffet,motorcycle,32,4.0,19.45,93.0,0.0,17.12,4.273.333.333
High,819D,clear sky,Meal,motorcycle,20,4.9,22.49,44.0,0.0,19.95,3.478.333.333
High,66F1,clear sky,Buffet,motorcycle,38,4.8,22.84,43.0,0.0,21.59,4.668.333.333
High,4C13,clear sky,Drinks,motorcycle,24,4.9,22.81,43.0,0.0,23.68,5.401.666.667
High,4CAB,clear sky,Meal,motorcycle,35,4.7,17.84,68.0,0.0,11.6,3.928.333.333
High,AFC4,mist,Snack,scooter,35,4.7,24.95,73.0,0.0,17.3,46.95
High,1655,smoke,Drinks,motorcycle,29,4.8,27.0,44.0,0.0,14.32,4.876.666.667
High,D6EF,clear sky,Meal,scooter,24,4.4,21.83,50.0,0.0,18.98,36.25
High,9873,mist,Drinks,motorcycle,33,4.1,25.01,73.0,0.0,15.4,4.871.666.667
High,92EC,broken clouds,Drinks,scooter,34,4.8,26.39,88.0,0.0,13.21,55.2
High,A20A,clear sky,Drinks,scooter,21,4.7,19.37,65.0,0.0,21.93,4.948.333.333
High,D2B0,mist,Drinks,motorcycle,27,4.9,24.0,88.0,0.0,15.83,5.271.666.667
High,5561,clear sky,Drinks,scooter,31,4.2,18.93,65.0,0.0,16.2,5.371.666.667
High,9151,mist,Buffet,scooter,34,4.4,19.73,93.0,0.0,14.78,49.35
High,C677,mist,Meal,scooter,23,4.7,23.86,88.0,0.0,15.03,41.5
High,A04,mist,Snack,scooter,28,4.7,25.06,73.0,0.0,14.28,4.201.666.667
High,58C2,mist,Drinks,scooter,20,4.7,26.48,87.0,0.0,12.4,5.191.666.667
High,50C4,scattered clouds,Buffet,motorcycle,28,4.7,18.25,82.0,0.0,23.28,41.6
High,6234,clear sky,Drinks,scooter,25,4.8,22.47,44.0,0.0,20.94,4.751.666.667
High,6445,haze,Snack,motorcycle,34,3.5,19.99,68.0,0.0,14.11,48.95
High,33DC,clear sky,Drinks,motorcycle,24,4.9,22.49,44.0,0.0,20.49,42.5
High,ACD8,clear sky,Snack,motorcycle,33,4.6,17.54,69.0,0.0,18.49,4.033.333.333
High,DEB4,clear sky,Snack,motorcycle,34,4.9,19.01,56.0,0.0,11.67,35.05
High,D446,clear sky,Drinks,electric_scooter,28,4.9,21.98,55.0,0.0,18.13,5.071.666.667
High,6436,clear sky,Buffet,scooter,34,3.7,19.42,65.0,0.0,23.24,4.478.333.333
High,8B2B,smoke,Buffet,scooter,38,4.6,26.22,44.0,0.0,13.14,42.95
High,33A0,clear sky,Drinks,motorcycle,29,4.5,19.95,46.0,0.0,17.28,54.65
High,B012,mist,Snack,motorcycle,24,4.6,24.97,73.0,0.0,17.5,4.986.666.667
High,4F3C,clear sky,Buffet,motorcycle,30,4.2,22.87,42.0,0.0,14.05,34.8
High,B209,mist,Drinks,scooter,20,4.9,25.06,73.0,0.0,14.28,4.701.666.667
High,4F9A,mist,Buffet,motorcycle,31,4.4,19.72,93.0,0.0,12.6,5.096.666.667
High,9692,haze,Snack,motorcycle,39,4.9,19.99,68.0,0.0,14.11,4.896.666.667
High,7BF,clear sky,Buffet,scooter,30,3.8,22.9,43.0,0.0,15.72,3.626.666.667
High,3B2E,mist,Drinks,scooter,32,4.1,26.36,88.0,0.0,12.24,52.8
High,2CB6,haze,Drinks,motorcycle,25,4.7,20.06,68.0,0.0,23.52,55.85
High,205D,mist,Snack,scooter,26,4.7,25.01,73.0,0.0,17.11,4.431.666.667
High,AC01,clear sky,Buffet,motorcycle,33,4.8,17.21,53.0,0.0,18.15,39.15
High,AFF,scattered clouds,Meal,scooter,36,4.3,18.05,77.0,0.0,25.16,4.273.333.333
High,A3A6,clear sky,Snack,motorcycle,20,4.9,19.05,65.0,0.0,16.57,48.4
High,2.80E+10,broken clouds,Snack,scooter,31,4.0,21.18,65.0,0.0,16.52,4.693.333.333
High,53EA,broken clouds,Snack,motorcycle,30,4.9,21.15,67.0,0.0,11.89,3.608.333.333
High,CD30,haze,Drinks,motorcycle,27,4.9,23.03,83.0,0.0,20.49,55.85
High,57CE,clear sky,Drinks,motorcycle,30,4.9,19.18,65.0,0.0,12.57,4.701.666.667
High,9646,mist,Buffet,scooter,37,4.8,24.98,73.0,0.0,16.91,43.8
High,33DD,broken clouds,Meal,electric_scooter,23,4.1,21.37,64.0,0.0,14.16,35.4
High,7096,clear sky,Meal,motorcycle,26,4.1,18.93,64.0,0.0,15.49,3.796.666.667
High,BC03,mist,Snack,motorcycle,35,4.6,25.06,73.0,0.0,14.4,4.251.666.667
High,5AA4,mist,Snack,scooter,25,4.5,19.75,92.0,0.0,10.27,3.986.666.667
High,B041,clear sky,Meal,motorcycle,38,4.7,17.41,69.0,0.0,18.92,35.5
High,5145,mist,Meal,scooter,29,4.3,19.66,91.0,0.0,10.93,3.643.333.333
High,CDF 4.00,clear sky,Snack,scooter,25,4.6,18.29,58.0,0.0,12.11,3.591.666.667
High,326E,broken clouds,Snack,motorcycle,21,4.7,18.13,82.0,0.0,21.93,3.871.666.667
High,8028,mist,Snack,motorcycle,38,4.8,24.95,73.0,0.0,13.88,4.456.666.667
High,5FD4,clear sky,Buffet,motorcycle,23,2.5,22.83,43.0,0.0,21.72,4.776.666.667
High,A14D,broken clouds,Meal,scooter,32,3.6,17.79,82.0,0.0,25.55,43.6
High,268B,broken clouds,Drinks,electric_scooter,34,3.9,18.43,82.0,0.0,17.5,4.303.333.333
High,711A,haze,Buffet,motorcycle,21,5.0,20.18,68.0,0.0,16.14,34.05
High,21C3,broken clouds,Meal,scooter,34,3.9,21.29,64.0,0.0,17.82,4.561.666.667
High,32B0,clear sky,Snack,scooter,29,4.6,17.23,69.0,0.0,19.93,4.068.333.333
High,94DD,mist,Drinks,motorcycle,32,4.8,25.02,73.0,0.0,15.95,4.523.333.333
High,8227,haze,Buffet,motorcycle,22,4.3,19.69,68.0,0.0,14.04,36.3
High,8322,scattered clouds,Buffet,motorcycle,35,4.1,18.07,78.0,0.0,26.02,4.698.333.333
High,A635,clear sky,Meal,motorcycle,22,3.5,19.14,65.0,0.0,13.2,3.246.666.667
High,33BE,mist,Snack,scooter,28,4.9,19.9,93.0,0.0,10.9,4.081.666.667
High,3D21,clear sky,Meal,motorcycle,35,3.6,17.77,68.0,0.0,18.75,34.95
High,D152,clear sky,Meal,scooter,38,4.8,18.24,57.0,0.0,13.62,32.7
High,4E5A,clear sky,Meal,scooter,25,4.3,19.95,46.0,0.0,16.52,4.393.333.333
High,7317,mist,Buffet,motorcycle,39,4.9,25.05,73.0,0.0,15.17,3.798.333.333
High,A077,clear sky,Meal,motorcycle,29,4.9,18.97,65.0,0.0,17.24,4.186.666.667
High,8FA0,clear sky,Buffet,electric_scooter,30,4.4,22.79,43.0,0.0,20.21,42.15
High,7B54,clear sky,Meal,motorcycle,21,4.8,18.93,65.0,0.0,16.2,4.388.333.333
High,65B1,broken clouds,Meal,scooter,23,4.7,18.34,82.0,0.0,14.43,3.841.666.667
High,B22B,clear sky,Meal,motorcycle,31,4.8,17.85,68.0,0.0,15.62,40.15
High,1A31,haze,Buffet,scooter,28,4.5,19.83,68.0,0.0,14.26,4.181.666.667
High,C2BA,clear sky,Buffet,motorcycle,20,3.9,18.95,56.0,0.0,13.59,3.796.666.667
High,8B86,mist,Buffet,motorcycle,35,4.8,24.97,73.0,0.0,17.5,4.788.333.333
High,D4DF,haze,Drinks,motorcycle,20,4.7,23.03,83.0,0.0,15.68,5.121.666.667
High,9ABF,clear sky,Meal,scooter,33,5.0,17.23,53.0,0.0,19.18,34.9
High,768D,smoke,Drinks,motorcycle,25,4.8,27.01,44.0,0.0,11.59,4.856.666.667
High,2C5A,clear sky,Buffet,scooter,31,4.4,19.15,64.0,0.0,26.35,4.671.666.667
High,4291,clear sky,Meal,scooter,34,3.8,22.79,43.0,0.0,20.19,42.15
High,B4E4,mist,Meal,scooter,30,4.2,25.02,73.0,0.0,15.95,3.631.666.667
High,7820,mist,Drinks,motorcycle,23,4.8,24.84,73.0,0.0,15.4,4.961.666.667
High,7D1A,clear sky,Buffet,motorcycle,34,4.6,17.79,68.0,0.0,14.53,41
High,25A5,clear sky,Meal,motorcycle,20,5.0,22.9,43.0,0.0,14.64,33.85
High,DD8C,clear sky,Snack,motorcycle,25,4.9,18.24,57.0,0.0,13.6,37.15
High,4D6A,haze,Meal,scooter,35,4.9,19.73,68.0,0.0,9.76,33.7
High,9869,mist,Snack,motorcycle,31,4.9,26.54,88.0,0.0,12.35,4.558.333.333
High,4B99,clear sky,Buffet,motorcycle,35,4.4,17.72,68.0,0.0,9.75,3.668.333.333
High,949A,clear sky,Snack,scooter,28,5.0,23.09,43.0,0.0,13.76,3.506.666.667
High,665B,mist,Buffet,scooter,23,5.0,25.12,73.0,0.0,17.58,4.391.666.667
High,D086,clear sky,Snack,motorcycle,36,4.5,18.88,56.0,0.0,14.9,4.786.666.667
High,7F7E,mist,Meal,motorcycle,28,4.9,19.75,92.0,0.0,13.06,4.518.333.333
High,411E,scattered clouds,Meal,scooter,35,4.8,17.86,77.0,0.0,24.99,3.451.666.667
High,5CDE,haze,Meal,scooter,28,4.9,17.15,72.0,0.0,17.07,37.35
High,5.00E+22,clear sky,Buffet,motorcycle,38,4.8,17.83,68.0,0.0,11.07,3.846.666.667
High,836D,broken clouds,Meal,motorcycle,31,4.4,21.25,65.0,0.0,15.76,41.7
High,29DD,mist,Drinks,scooter,26,4.7,25.15,73.0,0.0,21.28,5.518.333.333
High,96C3,few clouds,Snack,motorcycle,23,4.9,19.03,65.0,0.0,16.48,4.401.666.667
High,2F75,clear sky,Meal,scooter,36,4.8,17.58,69.0,0.0,15.03,37.1
High,4248,mist,Meal,motorcycle,29,4.6,24.99,73.0,0.0,14.95,4.488.333.333
High,92DD,mist,Buffet,motorcycle,34,4.7,19.66,91.0,0.0,10.68,3.813.333.333
High,54B6,mist,Buffet,motorcycle,20,4.9,25.03,73.0,0.0,18.08,4.883.333.333
High,9150,haze,Drinks,motorcycle,36,4.6,17.19,72.0,0.0,19.3,55
High,D044,mist,Meal,scooter,30,5.0,17.77,82.0,0.0,14.12,36.25
High,6D8F,clear sky,Drinks,motorcycle,30,4.8,22.99,43.0,0.0,14.18,41
High,1.10E+05,mist,Snack,motorcycle,33,4.7,26.14,88.0,0.0,9.39,45.6
High,BEB1,mist,Drinks,motorcycle,25,4.8,19.75,92.0,0.0,12.38,5.126.666.667
High,D2E5,clear sky,Meal,motorcycle,26,4.7,18.86,57.0,0.0,12.96,3.503.333.333
High,B2B,clear sky,Snack,motorcycle,21,4.9,17.21,53.0,0.0,14.73,3.941.666.667
High,57D0,haze,Snack,scooter,38,4.9,18.62,68.0,0.0,15.44,4.998.333.333
High,2C0B,mist,Buffet,motorcycle,39,4.9,19.84,93.0,0.0,12.09,3.946.666.667
High,223B,clear sky,Snack,scooter,30,4.4,22.35,43.0,0.0,24.27,41.95
High,9BFD,clear sky,Meal,scooter,26,4.9,19.17,65.0,0.0,12.35,3.713.333.333
High,685C,clear sky,Snack,motorcycle,34,5.0,22.81,43.0,0.0,22.17,46.45
High,340D,clear sky,Meal,scooter,37,4.7,19.1,65.0,0.0,11.41,3.156.666.667
High,9205,scattered clouds,Drinks,motorcycle,28,4.6,17.97,77.0,0.0,12.84,4.686.666.667
High,3D6A,clear sky,Meal,motorcycle,33,4.7,17.28,53.0,0.0,22.12,36.8
High,B6AA,mist,Buffet,motorcycle,22,4.9,25.0,73.0,0.0,13.73,3.701.666.667
High,3730,broken clouds,Drinks,motorcycle,29,5.0,21.3,64.0,0.0,18.67,5.486.666.667
High,B76A,clear sky,Buffet,motorcycle,21,4.9,18.95,65.0,0.0,13.27,3.903.333.333
High,C371,clear sky,Meal,motorcycle,29,4.6,21.71,51.0,0.0,15.27,40.55
High,A0D3,mist,Buffet,motorcycle,36,4.9,25.06,73.0,0.0,14.47,4.168.333.333
High,A2DA,haze,Meal,scooter,39,4.7,19.83,68.0,0.0,13.31,3.501.666.667
High,BB2,clear sky,Meal,scooter,21,4.7,17.31,53.0,0.0,25.66,4.136.666.667
High,2D82,broken clouds,Drinks,motorcycle,31,4.7,21.46,64.0,0.0,12.22,4.278.333.333
High,3D76,clear sky,Buffet,motorcycle,27,4.8,22.35,43.0,0.0,24.05,39.3
High,353D,smoke,Meal,motorcycle,27,4.2,26.73,44.0,0.0,11.2,4.166.666.667
High,293C,clear sky,Buffet,motorcycle,36,4.2,19.08,65.0,0.0,13.33,40.2
High,83AD,clear sky,Drinks,motorcycle,32,4.8,17.79,68.0,0.0,14.53,5.043.333.333
High,BB48,mist,Buffet,scooter,39,4.9,24.95,73.0,0.0,14.52,40.2
High,DBDD,mist,Snack,motorcycle,34,4.7,23.91,88.0,0.0,15.23,43.85
High,8273,mist,Drinks,scooter,35,5.0,20.3,91.0,0.0,8.11,4.718.333.333
High,A03A,clear sky,Drinks,motorcycle,32,3.8,22.79,43.0,0.0,20.21,4.881.666.667
High,9.00E+79,clear sky,Drinks,motorcycle,31,4.6,19.96,46.0,0.0,16.79,54.9
High,6C6,clear sky,Meal,motorcycle,34,4.8,17.85,68.0,0.0,16.38,44.1
High,B81A,mist,Meal,scooter,25,4.9,26.36,88.0,0.0,12.24,43.85
High,6742,smoke,Meal,motorcycle,24,4.5,26.14,44.0,0.0,13.16,4.256.666.667
High,3493,clear sky,Meal,motorcycle,20,4.9,22.86,43.0,0.0,16.93,3.521.666.667
High,9D8,clear sky,Snack,motorcycle,27,4.1,22.87,42.0,0.0,14.05,3.683.333.333
High,6DF6,mist,Snack,motorcycle,29,4.9,25.05,73.0,0.0,15.45,4.168.333.333
High,2D53,clear sky,Snack,scooter,21,4.7,22.79,43.0,0.0,20.19,4.606.666.667
High,AAD,mist,Drinks,motorcycle,29,4.6,25.08,73.0,0.0,19.16,5.708.333.333
High,7DCF,broken clouds,Buffet,motorcycle,32,4.7,21.29,66.0,0.0,18.46,4.851.666.667
High,1EFE,clear sky,Buffet,motorcycle,39,4.9,22.9,43.0,0.0,13.86,3.416.666.667
High,D1B8,mist,Snack,scooter,25,4.7,17.84,82.0,0.0,12.29,3.991.666.667
High,B37,scattered clouds,Buffet,scooter,28,4.5,18.12,77.0,0.0,26.21,4.061.666.667
High,9ACC,haze,Meal,scooter,20,4.7,17.18,72.0,0.0,16.86,3.373.333.333
High,917F,clear sky,Buffet,motorcycle,38,4.1,19.19,65.0,0.0,14.96,43.95
High,D306,scattered clouds,Snack,motorcycle,26,4.8,24.92,59.0,0.0,10.47,3.781.666.667
High,30DF,clear sky,Snack,scooter,25,4.9,17.23,53.0,0.0,19.36,3.768.333.333
High,7170,mist,Drinks,motorcycle,23,4.6,19.54,93.0,0.0,9.61,4.618.333.333
High,3442,clear sky,Buffet,scooter,20,4.9,17.3,53.0,0.0,18.44,44.15
High,A816,smoke,Drinks,motorcycle,29,5.0,27.04,44.0,0.0,17.77,47.4
High,A189,clear sky,Meal,motorcycle,37,4.8,22.87,42.0,0.0,14.05,3.286.666.667
High,D7AA,clear sky,Snack,motorcycle,37,4.9,21.83,55.0,0.0,11.81,47
High,4.00E+87,clear sky,Meal,motorcycle,31,4.3,22.47,44.0,0.0,21.29,4.058.333.333
High,B619,haze,Snack,scooter,35,4.8,17.21,72.0,0.0,16.48,3.656.666.667
High,2E4E,mist,Drinks,motorcycle,31,4.8,26.55,87.0,0.0,11.27,47.85
High,E48,clear sky,Buffet,motorcycle,24,4.6,22.9,43.0,0.0,14.64,3.578.333.333
High,1CF1,clear sky,Drinks,motorcycle,31,4.7,22.88,43.0,0.0,18.47,47.1
High,7023,clear sky,Meal,motorcycle,37,4.7,17.58,69.0,0.0,15.03,3.708.333.333
High,5.00E+14,clear sky,Buffet,electric_scooter,38,4.3,22.35,43.0,0.0,24.07,3.943.333.333
High,A98F,mist,Drinks,motorcycle,27,4.8,25.12,73.0,0.0,18.09,5.093.333.333
High,AE16,haze,Meal,scooter,35,5.0,17.15,72.0,0.0,17.07,3.736.666.667
High,8.10E+10,broken clouds,Buffet,motorcycle,33,4.5,21.24,64.0,0.0,12.95,4.051.666.667
High,603B,scattered clouds,Snack,motorcycle,25,4.6,18.2,77.0,0.0,15.88,44.35
High,6.00E+40,broken clouds,Snack,scooter,28,4.7,21.29,65.0,0.0,15.79,4.541.666.667
